gene_id	symbol	SNPs
6883	TAF12	0
26824	RNU11	0
10691	GMEB1	0
51441	YTHDF2	0
7805	LAPTM5	0
100616164	MIR4420	0
9698	PUM1	0
692234	SNORD103A	0
692200	SNORD85	0
100423028	MIR4254	0
90853	SPOCD1	0
10657	KHDRBS1	0
55116	TMEM39B	0
23633	KPNA6	0
200081	TXLNA	0
79140	CCDC28B	0
55721	IQCC	0
149069	DCDC2B	0
56063	TMEM234	0
8668	EIF3I	0
339483	MTMR9LP	0
84734	FAM167B	0
3932	LCK	0
3065	HDAC1	0
65108	MARCKSL1	0
100128071	FAM229A	0
81629	TSSK3	0
339487	ZBTB8OS	0
5928	RBBP4	0
81493	SYNC	0
204	AK2	0
113451	ADC	0
55223	TRIM62	0
127550	A3GALT2	0
100500853	MIR3605	0
653160	LOC653160	0
100506144	ZMYM6NB	0
9204	ZMYM6	0
79830	ZMYM1	0
6421	SFPQ	0
9202	ZMYM4	0
79932	KIAA0319L	0
23154	NCDN	0
5690	PSMB2	0
339488	TFAP2E	0
127703	C1orf216	0
63967	CLSPN	0
192670	AGO4	0
26523	AGO1	0
27285	TEKT2	0
54936	ADPRHL2	0
1296	COL8A2	0
27095	TRAPPC3	0
55700	MAP7D1	0
9967	THRAP3	0
79729	SH3D21	0
55194	EVA1B	0
149175	MANEAL	0
79693	YRDC	0
127687	C1orf122	0
10946	SF3A3	0
79647	AKIRIN1	0
4725	NDUFS5	0
353500	BMP8A	0
728448	PPIEL	0
8761	PABPC4	0
677834	SNORA55	0
10450	PPIE	0
64064	OXCT2	0
84879	MFSD2A	0
163732	CITED4	0
1907	EDN2	0
81888	HYI	0
5792	PTPRF	0
9682	KDM4A	0
100132774	KDM4A-AS1	0
533	ATP6V0B	0
8704	B4GALT2	0
149473	CCDC24	0
79639	TMEM53	0
339541	C1orf228	0
11004	KIF2C	0
6202	RPS8	0
26811	SNORD55	0
94161	SNORD46	0
94162	SNORD38A	0
94163	SNORD38B	0
266675	BEST4	0
1263	PLK3	0
343521	TCTEX1D4	0
149478	BTBD19	0
114034	TOE1	0
4678	NASP	0
149483	CCDC17	0
60313	GPBP1L1	0
728963	RPS15AP10	0
51249	TMEM69	0
3652	IPP	0
2166	FAAH	0
729041	LOC729041	0
1579	CYP4A11	0
260293	CYP4X1	0
199974	CYP4Z1	0
63950	DMRTA2	0
1031	CDKN2C	0
284546	C1orf185	0
26994	RNF11	0
22996	TTC39A	0
348378	FAM159A	0
54987	C1orf123	0
4116	MAGOH	0
100507564	LOC100507564	0
163742	SLC25A3P1	0
63948	DMRTB1	0
127428	TCEANC2	0
100616315	MIR4781	0
338094	FAM151A	0
27329	ANGPTL3	0
23032	USP33	0
11080	DNAJB4	0
115361	GBP4	0
388649	C1orf146	0
11146	GLMN	0
79871	RPAP2	0
22823	MTF2	0
51375	SNX7	0
1629	DBT	0
8634	RTCA	0
693138	MIR553	0
55599	RNPC3	0
280	AMY2B	0
648740	ACTG1P4	0
279	AMY2A	0
653149	NBPF6	0
2949	GSTM5	0
389	RHOC	0
333926	PPM1J	0
284467	FAM19A3	0
6566	SLC16A1	0
246182	AKR7A2P1	0
51592	TRIM33	0
10286	BCAS2	0
914	CD2	0
11085	ADAM30	0
653820	FAM72B	0
337875	HIST2H2BA	0
2210	FCGR1B	0
100996712	SRGAP2D	0
647121	EMBP1	0
100874392	ANKRD20A12P	0
100286793	LINC00875	0
100130000	LOC100130000	0
644591	PPIAL4G	0
728833	FAM72D	0
100288142	LOC100288142	0
728875	LOC728875	0
767846	PFN1P2	0
9659	PDE4DIP	0
9554	SEC22B	0
100132406	NBPF10	0
148738	HFE2	0
10628	TXNIP	0
84265	POLR3GL	0
284615	ANKRD34A	0
128077	LIX1L	0
9939	RBM8A	0
8799	PEX11B	0
8515	ITGA10	0
148741	ANKRD35	0
10401	PIAS3	0
200035	NUDT17	0
10623	POLR3C	0
27246	RNF115	0
11126	CD160	0
5174	PDZK1	0
653519	GPR89A	0
100288805	HYDIN2	0
149013	NBPF12	0
728989	LOC728989	0
644861	NBPF13P	0
5565	PRKAB2	0
171423	PDIA3P	0
2330	FMO5	0
9557	CHD1L	0
100289211	LINC00624	0
607	BCL9	0
51205	ACP6	0
2702	GJA5	0
2703	GJA8	0
51463	GPR89B	0
100847044	MIR5087	0
388685	FLJ39739	0
25832	NBPF14	0
645142	PPIAL4D	0
284565	NBPF15	0
730262	PPIAL4E	0
728936	NBPF16	0
728945	PPIAL4F	0
645166	LOC645166	0
388692	LOC388692	0
100132417	FCGR1C	0
57234	LINC00869	0
440689	HIST2H2BF	0
2209	FCGR1A	0
653604	HIST2H3D	0
8370	HIST2H4A	0
126961	HIST2H3C	0
723790	HIST2H2AA4	0
337873	HIST2H2BC	0
8349	HIST2H2BE	0
8338	HIST2H2AC	0
317772	HIST2H2AB	0
51027	BOLA1	0
9900	SV2A	0
10262	SF3B4	0
10903	MTMR11	0
56957	OTUD7B	0
11311	VPS45	0
51177	PLEKHO1	0
81611	ANP32E	0
23632	CA14	0
51107	APH1A	0
79630	C1orf54	0
148523	C1orf51	0
54460	MRPS21	0
9129	PRPF3	0
23248	RPRD2	0
80222	TARS2	0
1893	ECM1	0
100874054	LINC00568	0
54507	ADAMTSL4	0
100422997	MIR4257	0
4170	MCL1	0
2029	ENSA	0
55204	GOLPH3L	0
84072	HORMAD1	0
1520	CTSS	0
1513	CTSK	0
405	ARNT	0
9869	SETDB1	0
29956	CERS2	0
8416	ANXA9	0
55793	FAM63A	0
58497	PRUNE	0
149428	BNIPL	0
54964	C1orf56	0
56882	CDC42SE1	0
10962	MLLT11	0
126626	GABPB2	0
10500	SEMA6C	0
100534012	TNFAIP8L2-SCNM1	0
388695	LYSMD1	0
79005	SCNM1	0
29765	TMOD4	0
6944	VPS72	0
8394	PIP5K1A	0
5710	PSMD4	0
57592	ZNF687	0
5298	PI4KB	0
5993	RFX5	0
8991	SELENBP1	0
5692	PSMB4	0
23126	POGZ	0
57530	CGN	0
7286	TUFT1	0
693139	MIR554	0
81609	SNX27	0
11189	CELF3	0
284485	RIIAD1	0
65005	MRPL9	0
51686	OAZ3	0
11022	TDRKH	0
339398	LINGO4	0
6097	RORC	0
100191040	C2CD4D	0
100132111	LOC100132111	0
284486	THEM5	0
117145	THEM4	0
6281	S100A10	0
6282	S100A11	0
126637	TCHHL1	0
7062	TCHH	0
126638	RPTN	0
388697	HRNR	0
2312	FLG	0
388698	FLG2	0
49860	CRNN	0
254910	LCE5A	0
54544	CRCT1	0
353145	LCE3E	0
84648	LCE3D	0
353144	LCE3C	0
353143	LCE3B	0
353142	LCE3A	0
353141	LCE2D	0
353140	LCE2C	0
26239	LCE2B	0
353139	LCE2A	0
199834	LCE4A	0
100129271	C1orf68	0
448834	KPRP	0
353137	LCE1F	0
353135	LCE1E	0
353134	LCE1D	0
353133	LCE1C	0
353132	LCE1B	0
353131	LCE1A	0
448835	LCE6A	0
4184	SMCP	0
3713	IVL	0
163778	SPRR4	0
6698	SPRR1A	0
6707	SPRR3	0
6699	SPRR1B	0
6703	SPRR2D	0
6700	SPRR2A	0
6701	SPRR2B	0
6704	SPRR2E	0
6705	SPRR2F	0
6702	SPRR2C	0
6706	SPRR2G	0
149018	LELP1	0
574414	PRR9	0
4014	LOR	0
114771	PGLYRP3	0
57115	PGLYRP4	0
6280	S100A9	0
6283	S100A12	0
6279	S100A8	0
338324	S100A7A	0
645922	S100A7L2	0
6278	S100A7	0
6277	S100A6	0
6276	S100A5	0
6275	S100A4	0
6274	S100A3	0
6273	S100A2	0
140576	S100A16	0
57402	S100A14	0
6284	S100A13	0
6271	S100A1	0
26097	CHTOP	0
23557	SNAPIN	0
3608	ILF2	0
4881	NPR1	0
65123	INTS3	0
11000	SLC27A3	0
57459	GATAD2B	0
9909	DENND4B	0
200186	CRTC2	0
27173	SLC39A1	0
148327	CREB3L4	0
10899	JTB	0
5872	RAB13	0
6232	RPS27	0
91181	NUP210L	0
7170	TPM3	0
100126346	MIR190B	0
388701	C1orf189	0
25912	C1orf43	0
9898	UBAP2L	0
10456	HAX1	0
89872	AQP10	0
57198	ATP8B2	0
3570	IL6R	0
126669	SHE	0
126668	TDRD10	0
55585	UBE2Q1	0
1141	CHRNB2	0
103	ADAR	0
3782	KCNN3	0
10654	PMVK	0
57326	PBXIP1	0
90780	PYGO2	0
6464	SHC1	0
1163	CKS1B	0
100423020	MIR4258	0
80308	FLAD1	0
55891	LENEP	0
51043	ZBTB7B	0
127579	DCST2	0
149095	DCST1	0
100505666	LOC100505666	0
8751	ADAM15	0
1944	EFNA3	0
1942	EFNA1	0
55974	SLC50A1	0
54344	DPM3	0
200185	KRTCAP2	0
80128	TRIM46	0
4582	MUC1	0
693235	MIR92B	0
7059	THBS3	0
4580	MTX1	0
2630	GBAP1	0
2629	GBA	0
10712	FAM189B	0
10067	SCAMP3	0
1196	CLK2	0
57657	HCN3	0
5313	PKLR	0
2224	FDPS	0
284618	RUSC1-AS1	0
23623	RUSC1	0
55870	ASH1L	0
693140	MIR555	0
645682	POU5F1P4	0
645676	ASH1L-AS1	0
55154	MSTO1	0
55249	YY1AP1	0
7818	DAP3	0
100129405	MSTO2P	0
54856	GON4L	0
23208	SYT11	0
6016	RIT1	0
22889	KIAA0907	0
677823	SNORA42	0
677771	SCARNA4	0
339403	RXFP4	0
9181	ARHGEF2	0
6746	SSR2	0
56893	UBQLN4	0
28956	LAMTOR2	0
57111	RAB25	0
92312	MEX3A	0
4000	LMNA	0
64218	SEMA4A	0
9673	SLC25A44	0
100527963	PMF1-BGLAP	0
632	BGLAP	0
79957	PAQR6	0
23381	SMG5	0
84283	TMEM79	0
112770	C1orf85	0
391104	VHLL	0
7203	CCT3	0
128229	TSACC	0
57127	RHBG	0
10485	C1orf61	0
407046	MIR9-1	0
4209	MEF2D	0
128239	IQGAP3	0
164118	TTC24	0
128240	APOA1BP	0
54865	GPATCH4	0
60484	HAPLN2	0
63827	BCAN	0
10763	NES	0
1382	CRABP2	0
81875	ISG20L2	0
51093	RRNAD1	0
79590	MRPL24	0
3068	HDGF	0
5546	PRCC	0
9047	SH2D2A	0
4914	NTRK1	0
3645	INSRR	0
375033	PEAR1	0
149499	LRRC71	0
9826	ARHGEF11	0
768220	MIR765	0
440695	ETV3L	0
2117	ETV3	0
360155	CYCSP52	0
83416	FCRL5	0
83417	FCRL4	0
115352	FCRL3	0
79368	FCRL2	0
115350	FCRL1	0
922	CD5L	0
55243	KIRREL	0
646268	LOC646268	0
912	CD1D	0
909	CD1A	0
911	CD1C	0
910	CD1B	0
913	CD1E	0
128360	OR10T2	0
391107	OR10K2	0
391109	OR10K1	0
343406	OR10R2	0
391112	OR6Y1	0
128366	OR6P1	0
128367	OR10X1	0
128368	OR10Z1	0
6708	SPTA1	0
81448	OR6K2	0
391114	OR6K3	0
128371	OR6K6	0
128372	OR6N1	0
81442	OR6N2	0
4332	MNDA	0
149628	PYHIN1	0
3428	IFI16	0
9447	AIM2	0
57863	CADM3	0
100131825	LOC100131825	0
2532	DARC	0
2205	FCER1A	0
441911	OR10J3	0
26476	OR10J1	0
127385	OR10J5	0
325	APCS	0
1401	CRP	0
54935	DUSP23	0
343413	FCRL6	0
56833	SLAMF8	0
284677	C1orf204	0
391123	VSIG8	0
25790	CCDC19	0
8407	TAGLN2	0
57549	IGSF9	0
89886	SLAMF9	0
100505633	LOC100505633	0
93183	PIGM	0
3766	KCNJ10	0
3765	KCNJ9	0
93185	IGSF8	0
477	ATP1A2	0
480	ATP1A4	0
844	CASQ1	0
8682	PEA15	0
50717	DCAF8	0
5824	PEX19	0
1314	COPA	0
474338	SUMO1P3	0
23385	NCSTN	0
4807	NHLH1	0
57216	VANGL2	0
114836	SLAMF6	0
8832	CD84	0
6504	SLAMF1	0
962	CD48	0
57823	SLAMF7	0
4063	LY9	0
51744	CD244	0
55600	ITLN1	0
142683	ITLN2	0
50848	F11R	0
100131187	TSTD1	0
7391	USF1	0
257106	ARHGAP30	0
81607	PVRL4	0
126823	KLHDC9	0
5202	PFDN2	0
4817	NIT1	0
9191	DEDD	0
51506	UFC1	0
27005	USP21	0
5498	PPOX	0
8703	B4GALT3	0
9507	ADAMTS4	0
4720	NDUFS2	0
2207	FCER1G	0
336	APOA2	0
84134	TOMM40L	0
100847090	MIR5187	0
9970	NR1I3	0
654790	PCP4L1	0
4359	MPZ	0
6391	SDHC	0
257177	C1orf192	0
2212	FCGR2A	0
3310	HSPA6	0
2214	FCGR3A	0
9103	FCGR2C	0
3311	HSPA7	0
2215	FCGR3B	0
2213	FCGR2B	0
641311	RPL31P11	0
84824	FCRLA	0
127943	FCRLB	0
11266	DUSP12	0
22926	ATF6	0
25903	OLFML2B	0
9722	NOS1AP	0
100616386	MIR4654	0
693141	MIR556	0
284680	C1orf111	0
400793	C1orf226	0
117157	SH2D1B	0
127933	UHMK1	0
6675	UAP1	0
4921	DDR2	0
51478	HSD17B7	0
339512	C1orf110	0
5999	RGS4	0
8490	RGS5	0
83540	NUF2	0
5087	PBX1	0
100505795	LOC100505795	0
4009	LMX1A	0
6258	RXRG	0
400794	LOC400794	0
440699	LRRC52	0
4259	MGST3	0
223	ALDH9A1	0
440700	LOC440700	0
54499	TMCO1	0
7371	UCK2	0
100500832	MIR3658	0
149297	FAM78B	0
100126349	MIR921	0
116123	FMO9P	0
57645	POGK	0
117143	TADA1	0
387597	ILDR2	0
84944	MAEL	0
10223	GPA33	0
92235	DUSP27	0
5451	POU2F1	0
919	CD247	0
8804	CREG1	0
92241	RCSD1	0
9019	MPZL1	0
55811	ADCY10	0
25874	MPC2	0
55827	DCAF6	0
23432	GPR161	0
261726	TIPRL	0
9095	TBX19	0
84832	ANKRD36BP1	0
693142	MIR557	0
100505918	LOC100505918	0
6846	XCL2	0
6375	XCL1	0
1805	DPT	0
79100	LINC00626	0
481	ATP1B1	0
29922	NME7	0
8548	BLZF1	0
57821	CCDC181	0
10560	SLC19A2	0
2153	F5	0
6403	SELP	0
55732	C1orf112	0
6402	SELL	0
6401	SELE	0
92342	METTL18	0
57147	SCYL3	0
22920	KIFAP3	0
149281	METTL11B	0
100422839	MIR3119-1	0
284688	LOC284688	0
92344	GORAB	0
5396	PRRX1	0
80133	MROH9	0
2328	FMO3	0
100302178	MIR1295A	0
100847009	MIR1295B	0
388714	FMO6P	0
2327	FMO2	0
2326	FMO1	0
2329	FMO4	0
7151	TOP1P1	0
23215	PRRC2C	0
4653	MYOC	0
8674	VAMP4	0
51603	METTL13	0
26052	DNM3	0
100628315	DNM3OS	0
100422882	MIR3120	0
5279	PIGC	0
92346	C1orf105	0
51430	SUCO	0
356	FASLG	0
8995	TNFSF18	0
7292	TNFSF4	0
100506023	LOC100506023	0
9588	PRDX6	0
284525	SLC9C2	0
339416	ANKRD45	0
730159	LOC730159	0
27252	KLHL20	0
91687	CENPL	0
55157	DARS2	0
100506046	GAS5-AS1	0
60674	GAS5	0
26769	SNORD81	0
26802	SNORD47	0
26774	SNORD80	0
26770	SNORD79	0
692198	SNORD78	0
26806	SNORD44	0
692197	SNORD77	0
692196	SNORD76	0
692195	SNORD75	0
619498	SNORD74	0
84614	ZBTB37	0
462	SERPINC1	0
149041	RC3H1	0
9910	RABGAP1L	0
9293	GPR52	0
27101	CACYBP	0
63931	MRPS14	0
63923	TNN	0
9674	KIAA0040	0
7143	TNR	0
64326	RFWD2	0
677679	SCARNA3	0
60676	PAPPA2	0
460	ASTN1	0
574441	MIR488	0
57795	FAM5B	0
89866	SEC16B	0
730102	LOC730102	0
100302401	RASAL2-AS1	0
9462	RASAL2	0
84066	TEX35	0
400798	C1orf220	0
100616328	MIR4424	0
55103	RALGPS2	0
9068	ANGPTL1	0
9917	FAM20B	0
64222	TOR3A	0
27	ABL2	0
6646	SOAT1	0
126859	AXDND1	0
7827	NPHS2	0
163589	TDRD5	0
148753	FAM163A	0
163590	TOR1AIP2	0
26092	TOR1AIP1	0
9857	CEP350	0
5768	QSOX1	0
200058	FLJ23867	0
89884	LHX4	0
100527964	LOC100527964	0
84320	ACBD6	0
100423032	MIR3121	0
9213	XPR1	0
57710	KIAA1614	0
10228	STX6	0
3140	MR1	0
51278	IER5	0
100287948	GM140	0
777	CACNA1E	0
127665	ZNF648	0
2752	GLUL	0
127670	TEDDM1	0
388719	LINC00272	0
353299	RGSL1	0
6041	RNASEL	0
6004	RGS16	0
284648	LOC284648	0
85397	RGS8	0
80896	NPL	0
1660	DHX9	0
81626	SHCBP1L	0
3915	LAMC1	0
3918	LAMC2	0
23057	NMNAT2	0
284649	SMG7-AS1	0
9887	SMG7	0
4688	NCF2	0
10092	ARPC5	0
23179	RGL1	0
403314	APOBEC4	0
23127	COLGALT2	0
116461	TSEN15	0
81563	C1orf21	0
80267	EDEM3	0
116496	FAM129A	0
6045	RNF2	0
81627	TRMT1L	0
54823	SWT1	0
10625	IVNS1ABP	0
100288079	LOC100288079	0
83872	HMCN1	0
100302192	MIR548F1	0
100873775	RNU6-72P	0
10216	PRG4	0
7175	TPR	0
54953	C1orf27	0
10896	OCLM	0
5132	PDC	0
5743	PTGS2	0
5321	PLA2G4A	0
339479	FAM5C	0
440704	LOC440704	0
64407	RGS18	0
431704	RGS21	0
5996	RGS1	0
6003	RGS13	0
5997	RGS2	0
51377	UCHL5	0
6738	TROVE2	0
51022	GLRX2	0
79577	CDC73	0
100302163	MIR1278	0
8707	B3GALT2	0
343450	KCNT2	0
100616363	MIR4735	0
3075	CFH	0
10877	CFHR4	0
10878	CFHR3	0
3078	CFHR1	0
3080	CFHR2	0
81494	CFHR5	0
2165	F13B	0
259266	ASPM	0
360023	ZBTB41	0
23418	CRB1	0
163486	DENND1B	0
388722	C1orf53	0
56956	LHX9	0
140609	NEK7	0
127124	ATP6V1G3	0
5788	PTPRC	0
100131234	MIR181A1HG	0
406955	MIR181B1	0
406995	MIR181A1	0
2494	NR5A2	0
554279	LINC00862	0
23528	ZNF281	0
9928	KIF14	0
83479	DDX59	0
23271	CAMSAP2	0
2848	GPR25	0
55765	C1orf106	0
23046	KIF21B	0
779	CACNA1S	0
647219	ASCL5	0
252839	TMEM9	0
91156	IGFN1	0
5317	PKP1	0
7139	TNNT2	0
3898	LAD1	0
7135	TNNI1	0
23612	PHLDA3	0
1465	CSRP1	0
376693	RPS10P7	0
89796	NAV1	0
100847050	MIR5191	0
100302158	MIR1231	0
55705	IPO9	0
149345	SHISA4	0
25802	LMOD1	0
10440	TIMM17A	0
6051	RNPEP	0
1999	ELF3	0
9283	GPR37L1	0
127829	ARL8A	0
5778	PTPN7	0
148713	PTPRVP	0
59352	LGR6	0
29089	UBE2T	0
4660	PPP1R12B	0
127833	SYT2	0
10765	KDM5B	0
100506696	KDM5B-AS1	0
641515	LOC641515	0
148709	LOC148709	0
5877	RABIF	0
59349	KLHL12	0
51094	ADIPOR1	0
51706	CYB5R1	0
401980	LOC401980	0
92703	TMEM183A	0
8497	PPFIA4	0
4656	MYOG	0
134	ADORA1	0
4608	MYBPH	0
1116	CHI3L1	0
1118	CHIT1	0
730227	LOC730227	0
7832	BTG2	0
2331	FMOD	0
5549	PRELP	0
26254	OPTC	0
493	ATP2B4	0
677843	SNORA77	0
84719	LINC00260	0
54900	LAX1	0
9877	ZC3H11A	0
100381270	ZBED6	0
6635	SNRPE	0
284573	LINC00303	0
9580	SOX13	0
55224	ETNK2	0
5972	REN	0
3814	KISS1	0
127845	GOLT1A	0
22874	PLEKHA6	0
127841	LINC00628	0
84919	PPP1R15B	0
5287	PIK3C2B	0
4194	MDM4	0
10446	LRRN2	0
23114	NFASC	0
6900	CNTN2	0
388730	TMEM81	0
5929	RBBP5	0
25778	DSTYK	0
9911	TMCC2	0
81788	NUAK2	0
55220	KLHDC8A	0
284576	LEMD1-AS1	0
93273	LEMD1	0
442891	MIR135B	0
5129	CDK18	0
284578	LOC284578	0
148808	MFSD4	0
2005	ELK4	0
85414	SLC45A3	0
64710	NUCKS1	0
8934	RAB7L1	0
254428	SLC41A1	0
148811	PM20D1	0
284581	LOC284581	0
115019	SLC26A9	0
729533	FAM72A	0
553	AVPR1B	0
440712	C1orf186	0
1510	CTSE	0
23380	SRGAP2	0
9641	IKBKE	0
83593	RASSF5	0
1939	EIF2D	0
8444	DYRK3	0
9261	MAPKAPK2	0
3586	IL10	0
29949	IL19	0
50604	IL20	0
11009	IL24	0
9214	FAIM3	0
5284	PIGR	0
83953	FCAMR	0
79098	C1orf116	0
5208	PFKFB2	0
55432	YOD1	0
725	C4BPB	0
722	C4BPA	0
1604	CD55	0
1380	CR2	0
1378	CR1	0
1379	CR1L	0
4179	CD46	0
407026	MIR29C	0
148696	LOC148696	0
947	CD34	0
5362	PLXNA2	0
642587	MIR205HG	0
406988	MIR205	0
57172	CAMK1G	0
3914	LAMB3	0
100422894	MIR4260	0
50486	G0S2	0
3290	HSD11B1	0
80342	TRAF3IP3	0
148304	C1orf74	0
3664	IRF6	0
27042	DIEXF	0
255928	SYT14	0
574036	SERTAD4-AS1	0
56256	SERTAD4	0
55733	HHAT	0
3756	KCNH1	0
55758	RCOR3	0
7188	TRAF5	0
84791	LINC00467	0
343035	RD3	0
7779	SLC30A1	0
4751	NEK2	0
9926	LPGAT1	0
25896	INTS7	0
51514	DTL	0
100422947	MIR3122	0
5525	PPP2R5A	0
692157	SNORA16B	0
55248	TMEM206	0
29937	NENF	0
467	ATF3	0
149647	FAM71A	0
55509	BATF3	0
25936	NSL1	0
128387	TATDN3	0
149643	C1orf227	0
642946	FLVCR1-AS1	0
28982	FLVCR1	0
79805	VASH2	0
90806	ANGEL2	0
26750	RPS6KC1	0
100861504	LINC00538	0
5629	PROX1	0
56950	SMYD2	0
5784	PTPN14	0
1063	CENPF	0
3776	KCNK2	0
51133	KCTD3	0
7399	USH2A	0
2104	ESRRG	0
55105	GPATCH2	0
128153	SPATA17	0
100885798	LINC00210	0
51018	RRP15	0
728463	LOC728463	0
7042	TGFB2	0
643723	LOC643723	0
127018	LYPLAL1	0
55532	SLC30A10	0
26828	RNU5F-1	0
2058	EPRS	0
10380	BPNT1	0
55699	IARS2	0
406997	MIR215	0
406969	MIR194-1	0
25782	RAB3GAP2	0
677818	SNORA36B	0
6791	AURKAPS1	0
4139	MARK1	0
79762	C1orf115	0
54996	MARC2	0
64757	MARC1	0
3142	HLX	0
400804	C1orf140	0
11221	DUSP10	0
79802	HHIPL2	0
9015	TAF1A	0
375056	MIA3	0
64853	AIDA	0
148362	BROX	0
400823	FAM177B	0
84976	DISP1	0
7100	TLR5	0
55061	SUSD4	0
164127	C1orf65	0
388743	CAPN8	0
824	CAPN2	0
7159	TP53BP2	0
23219	FBXO28	0
8560	DEGS1	0
4931	NVL	0
100313769	MIR320B2	0
